,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,건물명
0,베트남쌀국수퍼짱,,음식,동남아시아,베트남식 전문,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 732,세종특별자치시 세종특별자치시 한누리대로,모닝시티2
1,책통클럽읽기훈련센타,,교육,기타 교육,그 외 기타 교육기관,그 외 기타 분류 안된 교육기관,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로,해피라움W
2,더함인테리어컨설팅,,과학·기술,전문 디자인,인테리어 디자인업,인테리어 디자인업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 봉암리 637-3,세종특별자치시 세종특별자치시 연서면 당산로,
3,모더니엘살롱,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 764,세종특별자치시 세종특별자치시 한누리대로,갤러리밸류시티
4,카이젠교육,,교육,일반 교육,입시·교과학원,일반 교과학원,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 760,세종특별자치시 세종특별자치시 남세종로,보람빌딩
5,가재세탁,,수리·개인,세탁,세탁소,가정용 세탁업,세종특별자치시,세종특별자치시,종촌동,종촌동,세종특별자치시 세종특별자치시 종촌동 679,세종특별자치시 세종특별자치시 도움3로,가재마을3단지
6,세종유도관,,교육,기타 교육,태권도/무술학원,태권도 및 무술 교육기관,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 757,세종특별자치시 세종특별자치시 남세종로,위너스타워
7,세종마취과,,보건의료,의원,기타 의원,일반의원,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 119-12,세종특별자치시 세종특별자치시 조치원읍 새내1길,
8,위스콘신이케이어학원,,교육,기타 교육,외국어학원,외국어학원,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1344,세종특별자치시 세종특별자치시 달빛1로,
9,세종종합법률사무소,,과학·기술,법무관련 ,변호사,변호사업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 809,세종특별자치시 세종특별자치시 나성북로,퍼스트원
10,천지연가든,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 성제리 586-14,세종특별자치시 세종특별자치시 연서면 월하천로,
11,엄마손김밥,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 747,세종특별자치시 세종특별자치시 한누리대로,에스알파크원
12,아르드뽀에스테틱,,수리·개인,이용·미용,피부 관리실,피부 미용업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 750,세종특별자치시 세종특별자치시 한누리대로,세종마루
13,목향재,,숙박,일반 숙박,여관/모텔,여관업,세종특별자치시,세종특별자치시,고운동,고운동,세종특별자치시 세종특별자치시 고운동 1754,세종특별자치시 세종특별자치시 만남로6길,
14,아름다운기획,,과학·기술,광고,광고물 설계/제작업,"광고물 문안, 도안, 설계 등 작성업",세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 도계리 19-5,세종특별자치시 세종특별자치시 장군면 풍덕골길,
15,스튜디오에프피,,과학·기술,전문 디자인,패션/섬유/기타 전문 디자인업,"패션, 섬유류 및 기타 전문 디자인업",세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로,에비뉴힐
16,머슬케어필라테스,,교육,기타 교육,요가/필라테스 학원,기타 스포츠 교육기관,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 788,세종특별자치시 세종특별자치시 나성북1로,메가타워2
17,쿠헤어,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 34-1,세종특별자치시 세종특별자치시 조치원읍 새내8길,
18,올진스시,,음식,일식,일식 회/초밥,일식 음식점업,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 539,세종특별자치시 세종특별자치시 한누리대로,KT&G세종타워A
19,부동산땅집go공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신흥리 1-23,세종특별자치시 세종특별자치시 조치원읍 신흥샛터길,
20,뷰티호텔,,수리·개인,이용·미용,피부 관리실,피부 미용업,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1318,세종특별자치시 세종특별자치시 아름서길,세종시아카데미타워
21,딥핑크,,소매,종합 소매,그 외 기타 종합 소매업,그 외 기타 종합 소매업,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 584,세종특별자치시 세종특별자치시 새롬중앙로,행운빌딩
22,로엘라,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 1-22,세종특별자치시 세종특별자치시 조치원읍 조치원7길,
23,다카렌터카,,시설관리·임대,운송장비 대여,자동차 대여업,자동차 임대업,세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 대교리 135-3,세종특별자치시 세종특별자치시 장군면 대교길,
